DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,cod_departamento,cod_municipio,region,FEX_C,cant_hog_completos,cant_hogares_vivienda,clase,tipo_vivienda
8377431,1,1,1,Caldas,Manizales,Central,"167,4048381",1,1,Cabecera,Apartamento
8377432,1,1,1,Caldas,Manizales,Central,"227,601313",1,1,Cabecera,Casa
8377434,1,1,1,Caldas,Manizales,Central,"229,189918",1,1,Cabecera,Cuarto(s)
8377435,1,1,1,Caldas,Manizales,Central,"169,6670656",1,1,Cabecera,Cuarto(s)
8377436,1,1,1,Caldas,Manizales,Central,"269,5593038",1,1,Cabecera,Casa
8377437,1,1,1,Caldas,Samaná,Central,"44,86270168",1,1,Centro poblado / Rural disperso,Casa
8377438,1,1,1,Caldas,Samaná,Central,"114,5824303",1,1,Centro poblado / Rural disperso,Casa
8377440,1,1,1,Caldas,Samaná,Central,"44,86270168",1,1,Centro poblado / Rural disperso,Casa
8377441,1,1,1,Caldas,Samaná,Central,"109,21305",1,1,Centro poblado / Rural disperso,Casa
8377442,1,1,1,Caldas,Samaná,Central,"44,86270168",1,1,Centro poblado / Rural disperso,Casa
8377444,1,1,1,Caldas,Samaná,Central,"89,44303564",1,1,Centro poblado / Rural disperso,Casa
8377446,1,1,1,Caldas,Samaná,Central,"44,86270168",1,1,Centro poblado / Rural disperso,Casa
8379908,1,1,1,Caldas,Manizales,Central,"186,4078",1,1,Cabecera,Casa
8379910,1,1,1,Caldas,Manizales,Central,"250,0253651",1,1,Cabecera,Apartamento
8379911,1,1,1,Caldas,Manizales,Central,"236,0819431",1,1,Cabecera,Apartamento
8379912,1,1,1,Caldas,Manizales,Central,"307,0296383",1,1,Cabecera,Apartamento
8379913,1,1,1,Caldas,Manizales,Central,"583,778756",1,1,Cabecera,Apartamento
8379914,1,1,1,Caldas,Manizales,Central,"501,9080716",1,1,Cabecera,Apartamento
8379915,1,1,1,Caldas,Manizales,Central,"147,6332841",1,1,Cabecera,Casa
8379916,1,1,1,Caldas,Manizales,Central,"308,5518616",1,1,Cabecera,Apartamento
8379917,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Apartamento
8379918,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Apartamento
8379919,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Casa
8379920,1,1,1,Caldas,Marmato,Central,"65,44178639",1,1,Centro poblado / Rural disperso,Casa
8379921,1,1,1,Caldas,Marmato,Central,"83,48977722",1,1,Centro poblado / Rural disperso,Casa
8379922,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379923,1,1,1,Caldas,Marmato,Central,"65,44178639",1,1,Centro poblado / Rural disperso,Casa
8379924,1,1,1,Caldas,Marmato,Central,"140,0273026",1,1,Centro poblado / Rural disperso,Casa
8379925,1,1,1,Caldas,Marmato,Central,"170,9936449",1,1,Centro poblado / Rural disperso,Casa
8379926,1,1,1,Caldas,Marmato,Central,"57,26457892",1,1,Centro poblado / Rural disperso,Casa
8379927,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379928,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379929,1,1,1,Caldas,Marmato,Central,"46,60349372",1,1,Centro poblado / Rural disperso,Casa
8379930,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379931,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379933,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379934,1,1,1,Caldas,Marmato,Central,"62,11649644",1,1,Centro poblado / Rural disperso,Casa
8379935,1,1,1,Caldas,Marmato,Central,"57,26457892",1,1,Centro poblado / Rural disperso,Casa
8379936,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379938,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379939,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Casa
8379940,1,1,1,Caldas,Marmato,Central,"31,11579338",1,1,Centro poblado / Rural disperso,Casa
8379941,1,1,1,Caldas,Marmato,Central,"135,1753851",1,1,Centro poblado / Rural disperso,Apartamento
8379942,1,1,1,Caldas,Marmato,Central,"42,74841122",1,1,Centro poblado / Rural disperso,Apartamento
